"Start";"End";"Label"
0.0000000;0.3662810;"N"
0.3662810;3.6054640;"A"
3.6054640;5.4630610;"D"
5.4630610;7.2626070;"E"
7.2626070;10.9661900;"A"
10.9661900;12.5915870;"D"
12.5915870;14.7046030;"E"
14.7046030;18.3269160;"A"
18.3269160;20.1729020;"D"
20.1729020;21.9956680;"B"
21.9956680;23.8532650;"A"
23.8532650;24.4802040;"D"
24.4802040;25.1651920;"A"
25.1651920;25.8385710;"B:min"
25.8385710;26.5003400;"A"
26.5003400;26.9879590;"E"
26.9879590;27.4523580;"E"
27.4523580;31.2023800;"A"
31.2023800;33.0599770;"D"
33.0599770;34.9291830;"E"
34.9291830;38.6559860;"A"
38.6559860;40.5251920;"D"
40.5251920;42.3827890;"E"
42.3827890;46.1328110;"A"
46.1328110;48.0368480;"D"
48.0368480;49.9060540;"B"
49.9060540;51.7636500;"A"
51.7636500;52.4370290;"D"
52.4370290;53.1104080;"A"
53.1104080;53.8302260;"B:min"
53.8302260;54.4919950;"A"
54.4919950;55.0028340;"E"
55.0028340;55.4672330;"E"
55.4672330;57.3248290;"A"
57.3248290;59.1243760;"E"
59.1243760;62.8743990;"A"
62.8743990;64.7436050;"D"
64.7436050;66.6360310;"E"
66.6360310;70.3744440;"A"
70.3744440;72.2552600;"D"
72.2552600;74.1360770;"E"
74.1360770;77.9325390;"A"
77.9325390;79.7901360;"D"
79.7901360;81.6709520;"B"
81.6709520;83.4937180;"A"
83.4937180;84.2135370;"D"
84.2135370;84.8985260;"A"
84.8985260;85.5951240;"B:min"
85.5951240;86.2801130;"A"
86.2801130;86.7561220;"E"
86.7561220;87.2437410;"E"
87.2437410;89.0897270;"A"
89.0897270;90.7267340;"E"
90.7267340;91.3652830;"C"
91.3652830;92.0734920;"G"
92.0734920;92.7468700;"D"
92.7468700;93.2112690;"D"
93.2112690;95.0224260;"A"
95.0224260;96.5897730;"E"
96.5897730;97.2747610;"C"
97.2747610;97.9249200;"G"
97.9249200;98.6215190;"D"
98.6215190;99.1091380;"D"
99.1091380;100.9086840;"A"
100.9086840;102.4644210;"E"
102.4644210;103.1261900;"C"
103.1261900;103.8227890;"G"
103.8227890;104.5077770;"D"
104.5077770;104.9837860;"D"
104.9837860;106.8065530;"A"
106.8065530;108.3390700;"E"
108.3390700;109.0240580;"C"
109.0240580;109.6974370;"G"
109.6974370;110.3940360;"D"
110.3940360;110.8468250;"D"
110.8468250;112.6812010;"A"
112.6812010;114.2369380;"E"
114.2369380;114.9103170;"C"
114.9103170;115.5488660;"G"
115.5488660;116.2454640;"D"
116.2454640;116.7098630;"D"
116.7098630;118.5558500;"A"
118.5558500;120.0767570;"E"
120.0767570;120.7269160;"C"
120.7269160;121.4351240;"G"
121.4351240;122.1085030;"D"
122.1085030;122.5612920;"D"
122.5612920;124.4188880;"A"
124.4188880;126.2068250;"E"
126.2068250;127.8090020;"E"
127.8090020;129.6201580;"E"
129.6201580;131.6286840;"E"
131.6286840;135.4135370;"A"
135.4135370;137.2595230;"D"
137.2595230;139.1055100;"E"
139.1055100;142.8439220;"A"
142.8439220;144.7247390;"D"
144.7247390;146.5939450;"E"
146.5939450;150.3323580;"A"
150.3323580;152.2363940;"D"
152.2363940;154.1056000;"B"
154.1056000;155.9748070;"A"
155.9748070;156.6597950;"D"
156.6597950;157.3912240;"A"
157.3912240;158.0413830;"B:min"
158.0413830;158.6915410;"A"
158.6915410;159.1791600;"E"
159.1791600;159.6551700;"E"
159.6551700;163.3703620;"A"
163.3703620;165.1815190;"D"
165.1815190;167.1203850;"B"
167.1203850;169.0128110;"A"
169.0128110;169.6397500;"D"
169.6397500;170.3595690;"A"
170.3595690;171.0445570;"B:min"
171.0445570;171.7527660;"A"
171.7527660;172.2055550;"E"
172.2055550;172.6815640;"E"
172.6815640;174.5507700;"A"
174.5507700;175.2473690;"D"
175.2473690;175.9555780;"A"
175.9555780;176.6637860;"B:min"
176.6637860;177.3023350;"A"
177.3023350;177.7667340;"E"
177.7667340;178.2543530;"E"
178.2543530;178.9857820;"A:min"
178.9857820;179.7056000;"G"
179.7056000;180.4254190;"D"
180.4254190;181.0291380;"D"
181.0291380;183.5910890;"A"
183.5910890;185.5266208;"N"
