"Start";"End";"Label"
0.0000000;0.4403951;"N"
0.4403951;1.6898180;"B"
1.6898180;2.2091879;"B"
2.2091879;2.7463260;"B"
2.7463260;3.2803850;"B"
3.2803850;3.8492740;"E"
3.8492740;4.4065530;"C#:min"
4.4065530;4.9406120;"F#"
4.9406120;5.4862810;"F#"
5.4862810;6.0203400;"B"
6.0203400;6.5776190;"B"
6.5776190;7.1232870;"B"
7.1232870;7.6341260;"B"
7.6341260;9.7471420;"B:min"
9.7471420;11.8717680;"G#"
11.8717680;14.0080040;"G"
14.0080040;15.0529020;"F#"
15.0529020;16.1210200;"F#"
16.1210200;17.1891380;"F#"
17.1891380;18.2572560;"F#"
18.2572560;18.8029250;"B"
18.8029250;19.3485940;"B"
19.3485940;19.8826530;"B"
19.8826530;20.4515410;"B"
20.4515410;20.9972100;"E"
20.9972100;21.5312690;"C#:min"
21.5312690;22.0537180;"F#"
22.0537180;22.6109970;"F#"
22.6109970;23.1334460;"B"
23.1334460;23.6558950;"B"
23.6558950;24.1551240;"B"
24.1551240;24.6891830;"B"
24.6891830;26.8370290;"B:min"
26.8370290;28.8919950;"G#"
28.8919950;31.0050110;"G"
31.0050110;32.0380906;"F#"
32.0380906;33.1412470;"F#"
33.1412470;35.3239220;"E"
35.3239220;37.4253280;"A"
37.4253280;39.4919040;"A"
39.4919040;43.6598860;"D"
43.6598860;45.7729020;"A"
45.7729020;47.8510880;"A"
47.8510880;49.9408840;"D"
49.9408840;52.1003400;"F#"
52.1003400;52.6343990;"B"
52.6343990;53.1568480;"B"
53.1568480;53.6909070;"B"
53.6909070;54.2249650;"B"
54.2249650;54.7358040;"E"
54.7358040;55.2698630;"C#:min"
55.2698630;55.8039220;"F#"
55.8039220;56.3263710;"F#"
56.3263710;56.8488200;"B"
56.8488200;57.3712690;"B"
57.3712690;57.9285480;"B"
57.9285480;58.4277770;"B"
58.4277770;60.5872330;"B:min"
60.5872330;62.6654190;"G#"
62.6654190;64.8016550;"G"
64.8016550;65.8349430;"F#"
65.8349430;66.9262810;"F#"
66.9262810;67.9711790;"F#"
67.9711790;69.0392970;"F#"
69.0392970;69.5965750;"B"
69.5965750;70.1190240;"B"
70.1190240;70.5950340;"B"
70.5950340;71.1174820;"B"
71.1174820;71.6515410;"E"
71.6515410;72.1972100;"C#:min"
72.1972100;72.7312690;"F#"
72.7312690;73.2769380;"F#"
73.2769380;73.7877770;"B"
73.7877770;74.3334460;"B"
74.3334460;74.8094550;"B"
74.8094550;75.3319040;"B"
75.3319040;77.4913600;"B:min"
77.4913600;79.5463260;"G#"
79.5463260;81.6477320;"G"
81.6477320;82.7042400;"F#"
82.7042400;83.8071880;"F#"
83.8071880;85.9666430;"E"
85.9666430;88.1144890;"A"
88.1144890;90.1926750;"A"
90.1926750;94.3954870;"D"
94.3954870;96.4852830;"A"
96.4852830;98.5982990;"A"
98.5982990;100.6880950;"D"
100.6880950;102.8707700;"F#"
102.8707700;103.4164390;"B"
103.4164390;103.9156680;"B"
103.9156680;104.4381170;"B"
104.4381170;104.9489560;"B"
104.9489560;105.4830150;"E"
105.4830150;106.0170740;"C#:min"
106.0170740;106.5975730;"F#"
106.5975730;107.0968020;"F#"
107.0968020;107.6192510;"B"
107.6192510;108.1417000;"B"
108.1417000;108.6873690;"B"
108.6873690;109.1982080;"B"
109.1982080;111.3344440;"B:min"
111.3344440;113.4242400;"G#"
113.4242400;115.5256460;"G"
115.5256460;116.5821540;"F#"
116.5821540;117.6618820;"F#"
117.6618820;118.7416090;"F#"
118.7416090;119.7516780;"F#"
119.7516780;120.2973460;"B"
120.2973460;120.8430150;"B"
120.8430150;121.3770740;"B"
121.3770740;121.8763030;"B"
121.8763030;122.4103620;"E"
122.4103620;122.9560310;"C#:min"
122.9560310;123.4784800;"F#"
123.4784800;123.9893190;"F#"
123.9893190;124.5117680;"B"
124.5117680;125.0226070;"B"
125.0226070;125.5566660;"B"
125.5566660;126.0791150;"B"
126.0791150;128.2385710;"B:min"
128.2385710;130.2935370;"G#"
130.2935370;132.4413830;"G"
132.4413830;133.4630610;"F#"
133.4630610;134.5195690;"F#"
134.5195690;136.6674140;"E"
136.6674140;138.7804300;"A"
138.7804300;140.9050560;"A"
140.9050560;145.0962580;"D"
145.0962580;147.2789340;"A"
147.2789340;149.3455100;"A"
149.3455100;151.4996831;"D"
151.4996831;153.6179810;"F#"
153.6179810;155.6961670;"B"
155.6961670;157.8440130;"B"
157.8440130;161.9887750;"E"
161.9887750;164.1830610;"B"
164.1830610;166.1799770;"B"
166.1799770;168.2813830;"E"
168.2813830;170.3595690;"E"
170.3595690;178.4284184;"B"
178.4284184;183.3528637;"N"
