"Time";"Frequency"
0;0
0.005805;0
0.01161;0
0.017415;0
0.02322;0
0.029025;613.33
0.03483;613.33
0.040635;613.33
0.04644;613.33
0.052245;616.88
0.05805;616.88
0.063855;624.05
0.06966;624.05
0.075465;627.67
0.08127;627.67
0.087075;627.67
0.09288;627.67
0.098685;627.67
0.10449;627.67
0.11029;624.05
0.1161;624.05
0.1219;624.05
0.12771;620.46
0.13351;620.46
0.13932;620.46
0.14512;620.46
0.15093;616.88
0.15673;616.88
0.16254;620.46
0.16834;620.46
0.17415;624.05
0.17995;624.05
0.18576;627.67
0.19156;631.3
0.19737;631.3
0.20317;634.96
0.20898;642.34
0.21478;646.06
0.22059;653.57
0.22639;657.35
0.2322;661.16
0.238;664.99
0.24381;668.84
0.24961;668.84
0.25542;668.84
0.26122;672.72
0.26703;672.72
0.27283;672.72
0.27864;668.84
0.28444;668.84
0.29025;668.84
0.29605;664.99
0.30186;661.16
0.30766;657.35
0.31347;657.35
0.31927;649.8
0.32508;638.64
0.33088;631.3
0.33669;627.67
0.34249;620.46
0.3483;616.88
0.3541;609.8
0.35991;606.29
0.36571;606.29
0.37152;609.8
0.37732;613.33
0.38313;620.46
0.38893;620.46
0.39474;627.67
0.40054;634.96
0.40635;642.34
0.41215;649.8
0.41796;664.99
0.42376;668.84
0.42957;672.72
0.43537;676.61
0.44118;680.53
0.44698;688.44
0.45279;696.44
0.45859;700.47
0.4644;700.47
0.4702;696.44
0.47601;692.43
0.48181;688.44
0.48762;684.48
0.49342;680.53
0.49923;676.61
0.50503;668.84
0.51084;664.99
0.51664;657.35
0.52245;642.34
0.52825;627.67
0.53406;616.88
0.53986;613.33
0.54567;613.33
0.55147;609.8
0.55728;609.8
0.56308;613.33
0.56889;616.88
0.57469;624.05
0.5805;627.67
0.5863;634.96
0.59211;638.64
0.59791;642.34
0.60372;653.57
0.60952;661.16
0.61533;668.84
0.62113;668.84
0.62694;672.72
0.63274;680.53
0.63855;688.44
0.64435;692.43
0.65016;696.44
0.65596;696.44
0.66177;696.44
0.66757;692.43
0.67338;688.44
0.67918;676.61
0.68499;668.84
0.69079;664.99
0.6966;664.99
0.7024;661.16
0.70821;646.06
0.71401;631.3
0.71982;620.46
0.72562;616.88
0.73143;616.88
0.73723;616.88
0.74304;616.88
0.74884;624.05
0.75465;631.3
0.76045;642.34
0.76626;646.06
0.77206;661.16
0.77787;664.99
0.78367;664.99
0.78948;668.84
0.79528;672.72
0.80109;688.44
0.80689;704.53
0.8127;708.61
0.8185;712.72
0.82431;712.72
0.83011;712.72
0.83592;708.61
