"time";"frequency"
"0.000";"0.000"
"0.006";"0.000"
"0.012";"0.000"
"0.017";"0.000"
"0.023";"0.000"
"0.029";"0.000"
"0.035";"0.000"
"0.041";"0.000"
"0.046";"0.000"
"0.052";"615.107"
"0.058";"618.670"
"0.064";"622.254"
"0.070";"625.859"
"0.075";"629.484"
"0.081";"629.484"
"0.087";"633.131"
"0.093";"633.131"
"0.099";"633.131"
"0.104";"633.131"
"0.110";"629.484"
"0.116";"629.484"
"0.122";"629.484"
"0.128";"625.859"
"0.134";"625.859"
"0.139";"622.254"
"0.145";"622.254"
"0.151";"622.254"
"0.157";"622.254"
"0.163";"622.254"
"0.168";"625.859"
"0.174";"625.859"
"0.180";"629.484"
"0.186";"629.484"
"0.192";"633.131"
"0.197";"633.131"
"0.203";"636.798"
"0.209";"640.487"
"0.215";"644.198"
"0.221";"651.683"
"0.226";"655.458"
"0.232";"659.255"
"0.238";"663.074"
"0.244";"666.915"
"0.250";"670.779"
"0.255";"670.779"
"0.261";"674.664"
"0.267";"674.664"
"0.273";"674.664"
"0.279";"674.664"
"0.284";"674.664"
"0.290";"670.779"
"0.296";"670.779"
"0.302";"666.915"
"0.308";"666.915"
"0.313";"663.074"
"0.319";"655.458"
"0.325";"647.930"
"0.331";"640.487"
"0.337";"633.131"
"0.342";"625.859"
"0.348";"622.254"
"0.354";"618.670"
"0.360";"611.564"
"0.366";"608.042"
"0.372";"608.042"
"0.377";"611.564"
"0.383";"618.670"
"0.389";"625.859"
"0.395";"625.859"
"0.401";"629.484"
"0.406";"640.487"
"0.412";"651.683"
"0.418";"655.458"
"0.424";"666.915"
"0.430";"674.664"
"0.435";"678.573"
"0.441";"682.504"
"0.447";"686.457"
"0.453";"694.434"
"0.459";"702.503"
"0.464";"702.503"
"0.470";"702.503"
"0.476";"702.503"
"0.482";"694.434"
"0.488";"694.434"
"0.493";"690.434"
"0.499";"682.504"
"0.505";"674.664"
"0.511";"666.915"
"0.517";"659.255"
"0.522";"644.198"
"0.528";"636.798"
"0.534";"625.859"
"0.540";"618.670"
"0.546";"618.670"
"0.551";"615.107"
"0.557";"615.107"
"0.563";"615.107"
"0.569";"615.107"
"0.575";"622.254"
"0.580";"625.859"
"0.586";"633.131"
"0.592";"636.798"
"0.598";"644.198"
"0.604";"651.683"
"0.610";"655.458"
"0.615";"663.074"
"0.621";"670.779"
"0.627";"674.664"
"0.633";"678.573"
